"species","AdultBodyMass_g","V3"
"Acinonyx_jubatus",50577.92,0
"Ailuropoda_melanoleuca",117999.99,0
"Ailurus_fulgens",5170.08,1
"Arctictis_binturong",12999.99,0
"Arctocephalus_forsteri",101249.99,0
"Arctocephalus_pusillus",178500,0
"Atelocynus_microtis",8363.22,0
"Atilax_paludinosus",3600.16,1
"Bassariscus_astutus",1010.37,1
"Callorhinus_ursinus",55464.82,0
"Canis_latrans",11989.1,0
"Canis_lupus",31756.51,0
"Caracal_caracal",11964.38,0
"Chrysocyon_brachyurus",23325,0
"Crocuta_crocuta",63369.98,0
"Cryptoprocta_ferox",9500,0
"Cuon_alpinus",15800,0
"Cystophora_cristata",278896.81,0
"Eira_barbara",4134.99,1
"Enhydra_lutris",27410.93,0
"Erignathus_barbatus",279999.99,0
"Eumetopias_jubatus",382466.74,0
"Felis_catus",2884.8,1
"Felis_chaus",7157.99,0
"Felis_margarita",2823.36,1
"Felis_nigripes",1362.77,1
"Felis_silvestris",4573.08,1
"Fossa_fossana",1853.98,1
"Galictis_vittata",NA,NA
"Galidia_elegans",810,1
"Genetta_genetta",1756.17,1
"Genetta_maculata",1950,1
"Genetta_pardina",NA,NA
"Genetta_tigrina",2066.57,1
"Gulo_gulo",12792.49,0
"Halichoerus_grypus",197570.01,0
"Helarctos_malayanus",57075.78,0
"Helogale_parvula",281.83,1
"Hemigalus_derbyanus",1262.7,1
"Herpestes_javanicus",750,1
"Ictonyx_striatus",811.02,1
"Leopardus_colocolo",NA,NA
"Leopardus_geoffroyi",NA,NA
"Leopardus_pardalis",11880,0
"Leopardus_tigrinus",NA,NA
"Leptailurus_serval",11999.96,0
"Lutra_lutra",8868.69,0
"Lycaon_pictus",21999.99,0
"Lynx_lynx",19300,0
"Lynx_rufus",6374.47,0
"Martes_americana",873.69,1
"Martes_flavigula",2504.64,1
"Martes_foina",1675,1
"Martes_martes",1299.99,1
"Martes_melampus",1000,1
"Martes_zibellina",1173.91,1
"Meles_meles",11884.03,0
"Mellivora_capensis",8999.99,0
"Melogale_moschata",938.5,1
"Mephitis_macroura",1097.76,1
"Mephitis_mephitis",2399.99,1
"Mirounga_angustirostris",1112390.81,0
"Monachus_schauinslandi",222999.99,0
"Mustela_altaica",180.24,1
"Mustela_erminea",284.5,1
"Mustela_frenata",190.03,1
"Mustela_itatsi",NA,NA
"Mustela_lutreola",566.44,1
"Mustela_nigripes",907.1,1
"Mustela_nivalis",78.45,1
"Mustela_sibirica",530.85,1
"Nandinia_binotata",2167.2,1
"Nasua_nasua",3775.5,1
"Neofelis_nebulosa",14945.05,0
"Nyctereutes_procyonoides",4214.99,1
"Odobenus_rosmarus",1042996.25,0
"Otocyon_megalotis",4098.12,1
"Paguma_larvata",4300,1
"Panthera_leo",158623.93,0
"Panthera_pardus",52399.99,0
"Panthera_tigris",161914.66,0
"Phoca_largha",98879.18,0
"Phoca_vitulina",87316.66,0
"Phocarctos_hookeri",273499.99,0
"Potos_flavus",2441.81,1
"Prionailurus_bengalensis",2780.97,1
"Prionailurus_viverrinus",8826.46,0
"Prionodon_linsang",684.83,1
"Procyon_lotor",6373.72,1
"Puma_concolor",53954.05,0
"Pusa_hispida",70963.6,0
"Pusa_sibirica",89499.99,0
"Speothos_venaticus",6324.54,1
"Spilogale_gracilis",NA,NA
"Spilogale_putorius",566.49,1
"Suricata_suricatta",729.99,1
"Taxidea_taxus",7842.15,0
"Tremarctos_ornatus",123176.97,0
"Uncia_uncia",32500,0
"Urocyon_cinereoargenteus",3833.71,1
"Ursus_americanus",110500,0
"Ursus_arctos",196287.5,0
"Ursus_maritimus",371703.81,0
"Ursus_thibetanus",99714.19,0
"Viverricula_indica",2918.88,1
"Vormela_peregusna",594.13,1
"Vulpes_corsac",2615.33,1
"Vulpes_macrotis",4499.97,1
"Vulpes_vulpes",4820.36,1
"Zalophus_californianus",137194.86,0
"",NA,NA
"",NA,NA
