"","species","hap.chrom","range.size"
"1","Potos_flavus",19,1
"2","Lutra_lutra",19,1
"3","Phoca_vitulina",16,1
"4","Mustela_nivalis",21,1
"5","Felis_catus",19,1
"6","Mustela_erminea",22,1
"7","Vulpes_vulpes",17,1
"8","Martes_martes",19,1
"9","Meles_meles",22,1
"10","Canis_lupus",39,1
"11","Lynx_lynx",19,1
"12","Gulo_gulo",21,1
"13","Ursus_arctos",37,1
"14","Halichoerus_grypus",16,1
"15","Ursus_maritimus",37,1
"16","Arctocephalus_pusillus",18,1
"17","Procyon_lotor",19,1
"18","Genetta_genetta",27,1
"19","Martes_foina",19,1
"20","Canis_latrans",39,0
"21","Nyctereutes_procyonoides",21,1
"22","Mirounga_angustirostris",17,0
"23","Pusa_hispida",16,1
"24","Martes_flavigula",20,0
"25","Enhydra_lutris",19,1
"26","Helogale_parvula",18,1
"27","Cystophora_cristata",17,1
"28","Crocuta_crocuta",20,1
"29","Leptailurus_serval",19,1
"30","Felis_chaus",19,0
"31","Prionailurus_bengalensis",19,1
"32","Zalophus_californianus",18,1
"33","Eumetopias_jubatus",18,1
"34","Leopardus_pardalis",18,1
"35","Urocyon_cinereoargenteus",33,1
"36","Eira_barbara",19,1
"37","Suricata_suricatta",18,1
"38","Odobenus_rosmarus",16,1
"39","Ursus_americanus",37,0
"40","Mellivora_capensis",20,1
"41","Arctocephalus_forsteri",18,0
"42","Herpestes_javanicus",18,1
"43","Erignathus_barbatus",17,1
"44","Felis_silvestris",19,1
"45","Nasua_nasua",19,1
"46","Caracal_caracal",19,1
"47","Puma_concolor",19,1
"48","Galidia_elegans",22,0
"49","Lynx_rufus",19,0
"50","Phocarctos_hookeri",18,0
"51","Otocyon_megalotis",36,0
"52","Martes_americana",19,1
"53","Genetta_maculata",26,0
"54","Chrysocyon_brachyurus",38,0
"55","Leopardus_tigrinus",18,0
"56","Ictonyx_striatus",19,0
"57","Genetta_tigrina",27,0
"58","Genetta_pardina",26,0
"59","Panthera_leo",19,1
"60","Panthera_pardus",19,1
"61","Lycaon_pictus",19,1
"62","Atilax_paludinosus",18,0
"63","Acinonyx_jubatus",19,1
"64","Nandinia_binotata",19,0
"65","Mustela_lutreola",19,1
"66","Mustela_frenata",21,1
"67","Bassariscus_astutus",19,0
"68","Paguma_larvata",22,0
"69","Prionodon_linsang",17,0
"70","Callorhinus_ursinus",18,1
"71","Mephitis_mephitis",25,1
"72","Spilogale_putorius",32,0
"73","Martes_melampus",19,0
"74","Viverricula_indica",19,1
"75","Mustela_sibirica",19,0
"76","Arctictis_binturong",21,0
"77","Mephitis_macroura",25,0
"78","Prionailurus_viverrinus",19,0
"79","Mustela_nigripes",19,0
"80","Taxidea_taxus",16,0
"81","Monachus_schauinslandi",17,0
"82","Spilogale_gracilis",30,0
"83","Melogale_moschata",19,0
"84","Vulpes_corsac",18,0
"85","Tremarctos_ornatus",26,0
"86","Vulpes_macrotis",25,0
"87","Panthera_tigris",19,1
"88","Phoca_largha",16,0
"89","Helarctos_malayanus",37,0
"90","Cuon_alpinus",39,1
"91","Vormela_peregusna",19,0
"92","Uncia_uncia",19,0
"93","Pusa_sibirica",16,0
"94","Leopardus_geoffroyi",18,0
"95","Galictis_vittata",19,0
"96","Ursus_thibetanus",37,1
"97","Atelocynus_microtis",37,0
"98","Neofelis_nebulosa",19,0
"99","Hemigalus_derbyanus",21,0
"100","Cryptoprocta_ferox",21,0
"101","Leopardus_colocolo",18,0
"102","Speothos_venaticus",37,0
"103","Ailurus_fulgens",18,0
"104","Mustela_altaica",22,0
"105","Martes_zibellina",19,0
"106","Mustela_itatsi",19,0
"107","Felis_margarita",19,1
"108","Ailuropoda_melanoleuca",21,0
"109","Fossa_fossana",21,0
"110","Felis_nigripes",19,0
