"","x"
"Acinonyx_jubatus",0
"Caracal_caracal",0
"Felis_catus",0
"Felis_chaus",0
"Felis_margarita",0
"Felis_nigripes",0
"Felis_silvestris",0
"Leopardus_colocolo",0
"Leopardus_geoffroyi",0
"Leopardus_pardalis",0
"Leopardus_tigrinus",0
"Leptailurus_serval",0
"Lynx_lynx",0
"Lynx_rufus",0
"Neofelis_nebulosa",0
"Panthera_leo",0
"Panthera_pardus",0
"Panthera_tigris",0
"Prionailurus_bengalensis",0
"Prionailurus_viverrinus",0
"Puma_concolor",0
"Uncia_uncia",0
"Ailuropoda_melanoleuca",0.0294985233334204
"Helarctos_malayanus",0
"Tremarctos_ornatus",0
"Ursus_americanus",0
"Ursus_arctos",0
"Ursus_maritimus",0
"Ursus_thibetanus",0
"Ailurus_fulgens",0.02267561767022
"Eira_barbara",0
"Enhydra_lutris",0
"Galictis_vittata",0
"Gulo_gulo",0.130019906047616
"Ictonyx_striatus",0
"Lutra_lutra",0
"Martes_americana",0
"Martes_flavigula",0.0650099530238079
"Martes_foina",0
"Martes_martes",0
"Martes_melampus",0
"Martes_zibellina",0
"Meles_meles",0.105229462313226
"Mellivora_capensis",0.0362227614342489
"Melogale_moschata",0
"Mustela_altaica",0.145383027578288
"Mustela_erminea",0.198731575844018
"Mustela_frenata",0.119385672370257
"Mustela_itatsi",0
"Mustela_lutreola",0
"Mustela_nigripes",0
"Mustela_nivalis",0
"Mustela_sibirica",0
"Taxidea_taxus",0.0988784937562186
"Vormela_peregusna",0
"Arctictis_binturong",0.0551619870362711
"Genetta_genetta",0.175034880075727
"Genetta_maculata",0
"Genetta_pardina",0
"Genetta_tigrina",1.01082696765053
"Hemigalus_derbyanus",0.0703985947314114
"Paguma_larvata",0.110323974072542
"Prionodon_linsang",0.0473181179086111
"Viverricula_indica",0.0398781022122816
"Arctocephalus_forsteri",0
"Arctocephalus_pusillus",0
"Callorhinus_ursinus",0
"Eumetopias_jubatus",0
"Phocarctos_hookeri",0
"Zalophus_californianus",0
"Atelocynus_microtis",0.0637776984950121
"Canis_latrans",0
"Canis_lupus",0
"Chrysocyon_brachyurus",0.13431977778136
"Cuon_alpinus",0
"Lycaon_pictus",2.1986408222301
"Nyctereutes_procyonoides",0.0978349069860711
"Otocyon_megalotis",0.427989979727399
"Speothos_venaticus",0
"Urocyon_cinereoargenteus",0.424576166841451
"Vulpes_corsac",0
"Vulpes_macrotis",0.433924005153283
"Vulpes_vulpes",0.238599307537091
"Atilax_paludinosus",0
"Helogale_parvula",0
"Herpestes_javanicus",0
"Suricata_suricatta",0
"Bassariscus_astutus",0
"Nasua_nasua",0
"Potos_flavus",0
"Procyon_lotor",0
"Mephitis_macroura",0
"Mephitis_mephitis",0
"Spilogale_gracilis",0
"Spilogale_putorius",0.642359772861585
"Crocuta_crocuta",0.0254881548770399
"Cryptoprocta_ferox",0.0986729231878163
"Fossa_fossana",0.0893436600309344
"Galidia_elegans",0.148009384781724
"Cystophora_cristata",0
"Erignathus_barbatus",0
"Halichoerus_grypus",0
"Mirounga_angustirostris",0
"Monachus_schauinslandi",0
"Phoca_largha",0
"Phoca_vitulina",0
"Pusa_hispida",0
"Pusa_sibirica",0
"Nandinia_binotata",0
"Odobenus_rosmarus",0.0404639679493003
